Linux 7.0.9-arch2-1 (archlinux) 	05/24/2026 	_x86_64_	(4 CPU)

10:19:49 AM  %scpu-10  %scpu-60 %scpu-300     %scpu
10:36:44 AM      0.00      0.00      0.00      0.19
10:36:49 AM      0.00      0.00      0.00      0.18
10:36:54 AM      0.00      0.00      0.00      0.22
10:36:59 AM      0.00      0.00      0.00      0.16
10:37:04 AM      0.00      0.00      0.00      0.19
10:37:09 AM      0.00      0.00      0.00      0.20
10:37:14 AM      0.00      0.00      0.00      0.17
10:37:19 AM      0.00      0.00      0.00      0.18
10:37:24 AM      0.00      0.00      0.00      0.23
10:37:29 AM      0.00      0.00      0.00      0.21
10:37:34 AM      0.00      0.00      0.00      0.19
10:37:39 AM      0.00      0.00      0.00      0.16
10:37:44 AM      0.00      0.00      0.00      0.17
10:37:49 AM      0.00      0.00      0.00      0.13
10:37:54 AM      0.00      0.00      0.00      0.18
10:37:59 AM      0.00      0.00      0.00      0.18
10:38:04 AM      0.00      0.00      0.00      0.16
10:38:09 AM      0.00      0.00      0.00      0.24
10:38:14 AM      0.00      0.00      0.00      0.19
10:38:19 AM      0.00      0.00      0.00      0.17
10:38:24 AM      0.00      0.00      0.00      0.19
10:38:29 AM      0.00      0.00      0.00      0.17
10:38:34 AM      0.00      0.00      0.00      0.14
10:38:39 AM      0.00      0.00      0.00      0.15
10:38:44 AM      0.00      0.00      0.00      0.17
10:38:49 AM      0.00      0.00      0.00      0.16
10:38:54 AM      0.00      0.00      0.00      0.18
10:38:59 AM      0.00      0.00      0.00      0.20
10:39:04 AM      0.00      0.00      0.00      0.19
10:39:09 AM      0.00      0.00      0.00      0.23
10:39:14 AM      0.00      0.00      0.00      0.13
10:39:19 AM      0.00      0.00      0.00      0.15
10:39:24 AM      0.00      0.00      0.00      0.25
10:39:29 AM      0.00      0.00      0.00      0.20
10:39:34 AM      0.00      0.00      0.00      0.14
10:39:39 AM      0.00      0.00      0.00      0.18
10:39:44 AM      0.00      0.00      0.00      0.20
10:39:49 AM      0.00      0.00      0.00      0.15
10:39:54 AM      0.00      0.00      0.00      0.19
10:39:59 AM      0.00      0.00      0.00      0.20
10:40:04 AM      0.00      0.00      0.00      0.28
10:40:09 AM      0.00      0.00      0.00      0.16
10:40:14 AM      0.00      0.00      0.00      0.15
10:40:19 AM      0.00      0.00      0.00      0.19
10:40:24 AM      0.00      0.00      0.00      0.18
10:40:29 AM      0.00      0.00      0.00      0.16
10:40:34 AM      0.00      0.00      0.00      0.15
10:40:39 AM      0.00      0.00      0.00      0.26
10:40:44 AM      0.00      0.00      0.00      0.19
10:40:49 AM      0.00      0.00      0.00      0.19
10:40:54 AM      0.00      0.00      0.00      0.20
10:40:59 AM      0.00      0.00      0.00      0.20
10:41:04 AM      0.00      0.00      0.00      0.16
10:41:09 AM      0.00      0.00      0.00      0.11
10:41:14 AM      0.00      0.00      0.00      0.17
10:41:19 AM      0.00      0.00      0.00      0.18
10:41:24 AM      0.00      0.00      0.00      0.19
10:41:29 AM      0.00      0.00      0.00      0.17
10:41:34 AM      0.00      0.00      0.00      0.17
10:41:39 AM      0.00      0.00      0.00      0.19
10:41:44 AM      0.00      0.00      0.00      0.19
10:41:49 AM      0.00      0.00      0.00      0.21
10:41:54 AM      0.00      0.00      0.00      0.18
10:41:59 AM      0.00      0.00      0.00      0.19
10:42:04 AM      0.00      0.00      0.00      0.19
10:42:09 AM      0.00      0.00      0.00      0.19
10:42:14 AM      0.00      0.00      0.00      0.18
10:42:19 AM      0.00      0.00      0.00      0.19
10:42:24 AM      0.00      0.00      0.00      0.20
10:42:29 AM      0.00      0.00      0.00      0.18
10:42:34 AM      0.00      0.00      0.00      0.22
10:42:39 AM      0.00      0.00      0.00      0.22
10:42:44 AM      0.00      0.00      0.00      0.18
10:42:49 AM      0.00      0.00      0.00      0.21
10:42:54 AM      0.00      0.00      0.00      0.20
10:42:59 AM      0.00      0.00      0.00      0.20
10:43:04 AM      0.00      0.00      0.00      0.14
10:43:09 AM      0.00      0.00      0.00      0.17
10:43:14 AM      0.00      0.00      0.00      0.17
10:43:19 AM      0.00      0.00      0.00      0.25
10:43:24 AM      0.00      0.00      0.00      0.23
10:43:29 AM      0.00      0.00      0.00      0.17
10:43:34 AM      0.00      0.00      0.00      0.18
