Linux 7.0.9-arch1-1 (archlinux) 	05/22/2026 	_x86_64_	(4 CPU)

12:17:25 AM  %scpu-10  %scpu-60 %scpu-300     %scpu
12:31:35 AM      0.00      0.00      0.00      0.23
12:31:40 AM      0.00      0.00      0.00      0.20
12:31:45 AM      0.00      0.00      0.00      0.17
12:31:50 AM      0.00      0.00      0.00      0.15
12:31:55 AM      0.00      0.00      0.00      0.20
12:32:00 AM      0.00      0.00      0.00      0.27
12:32:05 AM      0.00      0.00      0.00      0.17
12:32:10 AM      0.00      0.00      0.00      0.21
12:32:15 AM      0.00      0.00      0.00      0.24
12:32:20 AM      0.00      0.00      0.00      0.19
12:32:25 AM      0.00      0.00      0.00      0.29
12:32:30 AM      0.00      0.00      0.00      0.18
12:32:35 AM      0.00      0.00      0.00      0.04
12:32:40 AM      0.00      0.00      0.00      0.06
12:32:45 AM      0.00      0.00      0.00      0.22
12:32:50 AM      0.00      0.00      0.00      0.17
12:32:55 AM      0.00      0.00      0.00      0.25
12:33:00 AM      0.00      0.00      0.00      0.16
12:33:05 AM      0.00      0.00      0.00      0.21
12:33:10 AM      0.00      0.00      0.00      0.20
12:33:15 AM      0.00      0.00      0.00      0.21
12:33:20 AM      0.00      0.00      0.00      0.17
12:33:25 AM      0.00      0.00      0.00      0.23
12:33:30 AM      0.00      0.00      0.00      0.16
12:33:35 AM      0.00      0.00      0.00      0.20
12:33:40 AM      0.00      0.00      0.00      0.19
12:33:45 AM      0.00      0.00      0.00      0.19
12:33:50 AM      0.00      0.00      0.00      0.18
12:33:55 AM      0.00      0.00      0.00      0.16
12:34:00 AM      0.00      0.00      0.00      0.19
12:34:05 AM      0.00      0.00      0.00      0.15
12:34:10 AM      0.00      0.00      0.00      0.19
12:34:15 AM      0.00      0.00      0.00      0.16
12:34:20 AM      0.00      0.00      0.00      0.16
12:34:25 AM      0.00      0.00      0.00      0.24
12:34:30 AM      0.00      0.00      0.00      0.18
12:34:35 AM      0.00      0.00      0.00      0.17
12:34:40 AM      0.00      0.00      0.00      0.14
12:34:45 AM      0.00      0.00      0.00      0.20
12:34:50 AM      0.00      0.00      0.00      0.15
12:34:55 AM      0.00      0.00      0.00      0.11
12:35:00 AM      0.00      0.00      0.00      0.16
12:35:05 AM      0.00      0.00      0.00      0.20
12:35:10 AM      0.00      0.00      0.00      0.17
12:35:15 AM      0.00      0.00      0.00      0.18
12:35:20 AM      0.00      0.00      0.00      0.18
12:35:25 AM      0.00      0.00      0.00      0.24
12:35:30 AM      0.00      0.00      0.00      0.15
12:35:35 AM      0.00      0.00      0.00      0.19
12:35:40 AM      0.00      0.00      0.00      0.18
12:35:45 AM      0.00      0.00      0.00      0.18
12:35:50 AM      0.00      0.00      0.00      0.16
12:35:55 AM      0.00      0.00      0.00      0.20
12:36:00 AM      0.00      0.00      0.00      0.14
12:36:05 AM      0.00      0.00      0.00      0.20
12:36:10 AM      0.00      0.00      0.00      0.19
12:36:15 AM      0.00      0.00      0.00      0.20
12:36:20 AM      0.00      0.00      0.00      0.19
12:36:25 AM      0.00      0.00      0.00      0.15
12:36:30 AM      0.00      0.00      0.00      0.15
12:36:35 AM      0.00      0.00      0.00      0.20
12:36:40 AM      0.00      0.00      0.00      0.19
12:36:45 AM      0.00      0.00      0.00      0.19
12:36:50 AM      0.00      0.00      0.00      0.15
12:36:55 AM      0.00      0.00      0.00      0.14
12:37:00 AM      0.00      0.00      0.00      0.19
12:37:05 AM      0.00      0.00      0.00      0.20
12:37:10 AM      0.00      0.00      0.00      0.17
12:37:15 AM      0.00      0.00      0.00      0.22
12:37:20 AM      0.00      0.00      0.00      0.16
12:37:25 AM      0.00      0.00      0.00      0.18
12:37:30 AM      0.00      0.00      0.00      0.17
12:37:35 AM      0.00      0.00      0.00      0.23
12:37:40 AM      0.00      0.00      0.00      0.14
12:37:45 AM      0.00      0.00      0.00      0.16
12:37:50 AM      0.00      0.00      0.00      0.15
12:37:55 AM      0.00      0.00      0.00      0.16
12:38:00 AM      0.00      0.00      0.00      0.20
12:38:05 AM      0.00      0.00      0.00      0.22
12:38:10 AM      0.00      0.00      0.00      0.17
12:38:15 AM      0.00      0.00      0.00      0.17
12:38:20 AM      0.00      0.00      0.00      0.22
12:38:25 AM      0.00      0.00      0.00      0.22
12:38:30 AM      0.00      0.00      0.00      0.23
12:38:35 AM      0.00      0.00      0.00      0.16
12:38:40 AM      0.00      0.00      0.00      0.17
12:38:45 AM      0.00      0.00      0.00      0.16
12:38:50 AM      0.00      0.00      0.00      0.18
12:38:55 AM      0.00      0.00      0.00      0.21
12:39:00 AM      0.00      0.00      0.00      0.16
12:39:05 AM      0.00      0.00      0.00      0.17
12:39:10 AM      0.00      0.00      0.00      0.16
12:39:15 AM      0.00      0.00      0.00      0.15
12:39:20 AM      0.00      0.00      0.00      0.15
12:39:25 AM      0.00      0.00      0.00      0.17
12:39:30 AM      0.00      0.00      0.00      0.18
12:39:35 AM      0.00      0.00      0.00      0.17
12:39:40 AM      0.00      0.00      0.00      0.18
12:39:45 AM      0.00      0.00      0.00      0.16
12:39:50 AM      0.00      0.00      0.00      0.18
12:39:55 AM      0.00      0.00      0.00      0.19
12:40:00 AM      0.00      0.00      0.00      0.18
12:40:05 AM      0.00      0.00      0.00      0.23
12:40:10 AM      0.00      0.00      0.00      0.21
12:40:15 AM      0.00      0.00      0.00      0.24
12:40:20 AM      0.00      0.00      0.00      0.18
12:40:25 AM      0.00      0.00      0.00      0.26
12:40:30 AM      0.00      0.00      0.00      0.18
12:40:35 AM      0.00      0.00      0.00      0.24
12:40:40 AM      0.00      0.00      0.00      0.20
12:40:45 AM      0.00      0.00      0.00      0.17
12:40:50 AM      0.00      0.00      0.00      0.25
12:40:55 AM      0.00      0.00      0.00      0.19
12:41:00 AM      0.00      0.00      0.00      0.18
12:41:05 AM      0.00      0.00      0.00      0.19
12:41:10 AM      0.00      0.00      0.00      0.20
12:41:15 AM      0.00      0.00      0.00      0.17
12:41:20 AM      0.00      0.00      0.00      0.17
12:41:25 AM      0.00      0.00      0.00      0.22
12:41:30 AM      0.00      0.00      0.00      0.15
12:41:35 AM      0.00      0.00      0.00      0.24
12:41:40 AM      0.00      0.00      0.00      0.21
12:41:45 AM      0.00      0.00      0.00      0.10
12:41:50 AM      0.00      0.00      0.00      0.19
12:41:55 AM      0.00      0.00      0.00      0.17
12:42:00 AM      0.00      0.00      0.00      0.15
12:42:05 AM      0.00      0.00      0.00      0.23
12:42:10 AM      0.00      0.00      0.00      0.17
12:42:15 AM      0.00      0.00      0.00      0.18
12:42:20 AM      0.00      0.00      0.00      0.18
12:42:25 AM      0.00      0.00      0.00      0.17
12:42:30 AM      0.00      0.00      0.00      0.19
12:42:35 AM      0.00      0.00      0.00      0.21
12:42:40 AM      0.00      0.00      0.00      0.23
12:42:45 AM      0.00      0.00      0.00      0.20
12:42:50 AM      0.00      0.00      0.00      0.20
