Linux 7.0.10-arch1-1 (archlinux) 	05/28/2026 	_x86_64_	(4 CPU)

12:39:48 PM  %scpu-10  %scpu-60 %scpu-300     %scpu
12:43:13 PM      0.00      0.00      0.03      0.05
12:43:18 PM      0.00      0.00      0.03      0.07
12:43:23 PM      0.00      0.00      0.03      0.05
12:43:28 PM      0.00      0.00      0.03      0.06
12:43:33 PM      0.00      0.00      0.02      0.05
12:43:38 PM      0.00      0.00      0.02      0.08
12:43:43 PM      0.00      0.00      0.02      0.04
12:43:48 PM      0.00      0.00      0.02      0.05
12:43:53 PM      0.00      0.00      0.02      0.04
12:43:58 PM      0.00      0.00      0.02      0.08
12:44:03 PM      0.00      0.00      0.02      0.05
12:44:08 PM      0.00      0.00      0.02      0.06
12:44:13 PM      0.00      0.00      0.01      0.06
12:44:18 PM      0.00      0.00      0.01      0.05
12:44:23 PM      0.00      0.00      0.01      0.05
12:44:28 PM      0.00      0.00      0.01      0.07
12:44:33 PM      0.00      0.00      0.01      0.05
12:44:38 PM      0.00      0.00      0.01      0.05
12:44:43 PM      0.00      0.00      0.01      0.05
12:44:48 PM      0.00      0.00      0.01      0.06
12:44:53 PM      0.00      0.00      0.00      0.07
12:44:58 PM      0.00      0.00      0.00      0.05
12:45:03 PM      0.00      0.00      0.00      0.05
12:45:08 PM      0.00      0.00      0.00      0.08
12:45:13 PM      0.00      0.00      0.00      0.05
12:45:18 PM      0.00      0.00      0.00      0.06
12:45:23 PM      0.00      0.00      0.00      0.05
12:45:28 PM      0.00      0.00      0.00      0.08
12:45:33 PM      0.00      0.00      0.00      0.05
12:45:38 PM      0.00      0.00      0.00      0.05
12:45:43 PM      0.00      0.00      0.00      0.05
12:45:48 PM      0.00      0.00      0.00      0.07
12:45:53 PM      0.00      0.00      0.00      0.05
12:45:58 PM      0.00      0.00      0.00      0.05
12:46:03 PM      0.00      0.00      0.00      0.05
12:46:08 PM      0.00      0.00      0.00      0.07
12:46:13 PM      0.00      0.00      0.00      0.05
12:46:18 PM      0.00      0.00      0.00      0.07
12:46:23 PM      0.00      0.00      0.00      0.04
12:46:28 PM      0.00      0.00      0.00      0.07
12:46:33 PM      0.00      0.00      0.00      0.05
12:46:38 PM      0.00      0.00      0.00      0.07
12:46:43 PM      0.00      0.00      0.00      0.05
12:46:48 PM      0.00      0.00      0.00      0.06
12:46:53 PM      0.00      0.00      0.00      0.08
12:46:58 PM      0.00      0.00      0.00      0.04
12:47:03 PM      0.00      0.00      0.00      0.05
12:47:08 PM      0.00      0.00      0.00      0.08
12:47:13 PM      0.00      0.00      0.00      0.07
12:47:18 PM      0.00      0.00      0.00      0.05
12:47:23 PM      0.00      0.00      0.00      0.05
12:47:28 PM      0.00      0.00      0.00      0.07
12:47:33 PM      0.00      0.00      0.00      0.05
12:47:38 PM      0.00      0.00      0.00      0.07
12:47:43 PM      0.00      0.00      0.00      0.05
12:47:48 PM      0.00      0.00      0.00      0.07
12:47:53 PM      0.00      0.00      0.00      0.05
12:47:58 PM      0.00      0.00      0.00      0.07
12:48:03 PM      0.00      0.00      0.00      0.04
12:48:08 PM      0.00      0.00      0.00      0.06
12:48:13 PM      0.00      0.00      0.00      0.05
12:48:18 PM      0.00      0.00      0.00      0.07
12:48:23 PM      0.00      0.00      0.00      0.04
12:48:28 PM      0.00      0.00      0.00      0.06
12:48:33 PM      0.00      0.00      0.00      0.05
12:48:38 PM      0.00      0.00      0.00      0.07
12:48:43 PM      0.00      0.00      0.00      0.05
12:48:48 PM      0.00      0.00      0.00      0.07
12:48:53 PM      0.00      0.00      0.00      0.05
12:48:58 PM      0.00      0.00      0.00      0.05
12:49:03 PM      0.00      0.00      0.00      0.05
12:49:08 PM      0.00      0.00      0.00      0.05
12:49:13 PM      0.00      0.00      0.00      0.06
12:49:18 PM      0.00      0.00      0.00      0.05
12:49:23 PM      0.00      0.00      0.00      0.04
12:49:28 PM      0.00      0.00      0.00      0.07
12:49:33 PM      0.00      0.00      0.00      0.05
12:49:38 PM      0.00      0.00      0.00      0.05
12:49:43 PM      0.00      0.00      0.00      0.06
12:49:48 PM      0.00      0.00      0.00      0.07
12:49:53 PM      0.00      0.00      0.00      0.05
12:49:58 PM      0.00      0.00      0.00      0.05
12:50:03 PM      0.00      0.00      0.00      0.05
12:50:08 PM      0.00      0.00      0.00      0.07
12:50:13 PM      0.00      0.00      0.00      0.05
12:50:18 PM      0.00      0.00      0.00      0.07
12:50:23 PM      0.00      0.00      0.00      0.05
12:50:28 PM      0.00      0.00      0.00      0.05
12:50:33 PM      0.00      0.00      0.00      0.05
12:50:38 PM      0.00      0.00      0.00      0.05
12:50:43 PM      0.00      0.00      0.00      0.06
12:50:48 PM      0.00      0.00      0.00      0.06
12:50:53 PM      0.00      0.00      0.00      0.06
12:50:58 PM      0.00      0.00      0.00      0.07
12:51:03 PM      0.00      0.00      0.00      0.04
12:51:08 PM      0.00      0.00      0.00      0.08
12:51:13 PM      0.00      0.00      0.00      0.03
12:51:18 PM      0.00      0.00      0.00      0.06
12:51:23 PM      0.00      0.00      0.00      0.05
12:51:28 PM      0.00      0.00      0.00      0.05
12:51:33 PM      0.00      0.00      0.00      0.07
12:51:38 PM      0.00      0.00      0.00      0.07
12:51:43 PM      0.00      0.00      0.00      0.05
12:51:48 PM      0.00      0.00      0.00      0.05
12:51:53 PM      0.00      0.00      0.00      0.05
12:51:58 PM      0.00      0.00      0.00      0.07
12:52:03 PM      0.00      0.00      0.00      0.04
12:52:08 PM      0.00      0.00      0.00      0.06
12:52:13 PM      0.00      0.00      0.00      0.04
12:52:18 PM      0.00      0.00      0.00      0.07
12:52:23 PM      0.00      0.00      0.00      0.05
12:52:28 PM      0.00      0.00      0.00      0.10
12:52:33 PM      0.00      0.00      0.00      0.06
12:52:38 PM      0.00      0.00      0.00      0.07
12:52:43 PM      0.00      0.00      0.00      0.05
12:52:48 PM      0.00      0.00      0.00      0.07
12:52:53 PM      0.00      0.00      0.00      0.05
12:52:58 PM      0.00      0.00      0.00      0.05
12:53:03 PM      0.00      0.00      0.00      0.05
12:53:08 PM      0.00      0.00      0.00      0.07
12:53:13 PM      0.00      0.00      0.00      0.05
12:53:18 PM      0.00      0.00      0.00      0.05
12:53:23 PM      0.00      0.00      0.00      0.05
12:53:28 PM      0.00      0.00      0.00      0.05
12:53:33 PM      0.00      0.00      0.00      0.06
12:53:38 PM      0.00      0.00      0.00      0.06
12:53:43 PM      0.00      0.00      0.00      0.05
12:53:48 PM      0.00      0.00      0.00      0.07
12:53:53 PM      0.00      0.00      0.00      0.05
12:53:58 PM      0.00      0.00      0.00      0.05
12:54:03 PM      0.00      0.00      0.00      0.04
12:54:08 PM      0.00      0.00      0.00      0.07
12:54:13 PM      0.00      0.00      0.00      0.05
12:54:18 PM      0.00      0.00      0.00      0.05
12:54:23 PM      0.00      0.00      0.00      0.07
12:54:28 PM      0.00      0.00      0.00      0.05
12:54:33 PM      0.00      0.00      0.00      0.05
12:54:38 PM      0.00      0.00      0.00      0.07
12:54:43 PM      0.00      0.00      0.00      0.05
12:54:48 PM      0.00      0.00      0.00      0.05
12:54:53 PM      0.00      0.00      0.00      0.05
12:54:58 PM      0.00      0.00      0.00      0.07
12:55:03 PM      0.00      0.00      0.00      0.05
12:55:08 PM      0.00      0.00      0.00      0.07
12:55:13 PM      0.00      0.00      0.00      0.04
12:55:18 PM      0.00      0.00      0.00      0.07
12:55:23 PM      0.00      0.00      0.00      0.07
12:55:28 PM      0.00      0.00      0.00      0.04
12:55:33 PM      0.00      0.00      0.00      0.04
12:55:38 PM      0.00      0.00      0.00      0.05
12:55:43 PM      0.00      0.00      0.00      0.05
12:55:48 PM      0.00      0.00      0.00      0.07
12:55:53 PM      0.00      0.00      0.00      0.05
12:55:58 PM      0.00      0.00      0.00      0.07
12:56:03 PM      0.00      0.00      0.00      0.05
12:56:08 PM      0.00      0.00      0.00      0.05
12:56:13 PM      0.00      0.00      0.00      0.05
12:56:18 PM      0.00      0.00      0.00      0.07
12:56:23 PM      0.00      0.00      0.00      0.05
12:56:28 PM      0.00      0.00      0.00      0.08
12:56:33 PM      0.00      0.00      0.00      0.05
12:56:38 PM      0.00      0.00      0.00      0.08
12:56:43 PM      0.00      0.00      0.00      0.06
12:56:48 PM      0.00      0.00      0.00      0.06
12:56:53 PM      0.00      0.00      0.00      0.05
12:56:58 PM      0.00      0.00      0.00      0.07
12:57:03 PM      0.00      0.00      0.00      0.04
12:57:08 PM      0.00      0.00      0.00      0.07
12:57:13 PM      0.00      0.00      0.00      0.05
12:57:18 PM      0.00      0.00      0.00      0.05
12:57:23 PM      0.00      0.00      0.00      0.07
12:57:28 PM      0.00      0.00      0.00      0.05
12:57:33 PM      0.00      0.00      0.00      0.07
12:57:38 PM      0.00      0.00      0.00      0.05
12:57:43 PM      0.00      0.00      0.00      0.05
12:57:48 PM      0.00      0.00      0.00      0.07
12:57:53 PM      0.00      0.00      0.00      0.04
12:57:58 PM      0.00      0.00      0.00      0.06
12:58:03 PM      0.00      0.00      0.00      0.04
12:58:08 PM      0.00      0.00      0.00      0.07
12:58:13 PM      0.00      0.00      0.00      0.04
12:58:18 PM      0.00      0.00      0.00      0.06
12:58:23 PM      0.00      0.00      0.00      0.05
12:58:28 PM      0.00      0.00      0.00      0.07
12:58:33 PM      0.00      0.00      0.00      0.05
12:58:38 PM      0.00      0.00      0.00      0.07
12:58:43 PM      0.00      0.00      0.00      0.06
12:58:48 PM      0.00      0.00      0.00      0.05
12:58:53 PM      0.00      0.00      0.00      0.05
12:58:58 PM      0.00      0.00      0.00      0.07
12:59:03 PM      0.00      0.00      0.00      0.05
12:59:08 PM      0.00      0.00      0.00      0.07
12:59:13 PM      0.00      0.00      0.00      0.04
12:59:18 PM      0.00      0.00      0.00      0.05
12:59:23 PM      0.00      0.00      0.00      0.04
12:59:28 PM      0.00      0.00      0.00      0.07
12:59:33 PM      0.00      0.00      0.00      0.05
12:59:38 PM      0.00      0.00      0.00      0.06
12:59:43 PM      0.00      0.00      0.00      0.03
12:59:48 PM      0.00      0.00      0.00      0.07
12:59:53 PM      0.00      0.00      0.00      0.05
12:59:58 PM      0.00      0.00      0.00      0.07
01:00:03 PM      0.00      0.00      0.00      0.05
01:00:08 PM      0.00      0.00      0.00      0.05
01:00:13 PM      0.00      0.00      0.00      0.05
01:00:18 PM      0.00      0.00      0.00      0.07
01:00:23 PM      0.00      0.00      0.00      0.05
01:00:28 PM      0.00      0.00      0.00      0.05
01:00:33 PM      0.00      0.00      0.00      0.07
01:00:38 PM      0.00      0.00      0.00      0.07
01:00:43 PM      0.00      0.00      0.00      0.05
01:00:48 PM      0.00      0.00      0.00      0.07
01:00:53 PM      0.00      0.00      0.00      0.05
01:00:58 PM      0.00      0.00      0.00      0.08
01:01:03 PM      0.00      0.00      0.00      0.05
01:01:08 PM      0.00      0.00      0.00      0.07
01:01:13 PM      0.00      0.00      0.00      0.05
01:01:18 PM      0.00      0.00      0.00      0.07
01:01:23 PM      0.00      0.00      0.00      0.05
01:01:28 PM      0.00      0.00      0.00      0.07
01:01:33 PM      0.00      0.00      0.00      0.05
01:01:38 PM      0.00      0.00      0.00      0.05
01:01:43 PM      0.00      0.00      0.00      0.05
01:01:48 PM      0.00      0.00      0.00      0.05
01:01:53 PM      0.00      0.00      0.00      0.07
01:01:58 PM      0.00      0.00      0.00      0.05
01:02:03 PM      0.00      0.00      0.00      0.05
01:02:08 PM      0.00      0.00      0.00      0.07
01:02:13 PM      0.00      0.00      0.00      0.04
01:02:18 PM      0.00      0.00      0.00      0.05
01:02:23 PM      0.00      0.00      0.00      0.04
01:02:28 PM      0.00      0.00      0.00      0.05
01:02:33 PM      0.00      0.00      0.00      0.06
01:02:38 PM      0.00      0.00      0.00      0.06
01:02:43 PM      0.00      0.00      0.00      0.05
01:02:48 PM      0.00      0.00      0.00      0.05
01:02:53 PM      0.00      0.00      0.00      0.06
01:02:58 PM      0.00      0.00      0.00      0.06
01:03:03 PM      0.00      0.00      0.00      0.05
01:03:08 PM      0.00      0.00      0.00      0.05
01:03:13 PM      0.00      0.00      0.00      0.06
01:03:18 PM      0.00      0.00      0.00      0.05
01:03:23 PM      0.00      0.00      0.00      0.05
01:03:28 PM      0.00      0.00      0.00      0.05
01:03:33 PM      0.00      0.00      0.00      0.06
01:03:38 PM      0.00      0.00      0.00      0.05
01:03:43 PM      0.00      0.00      0.00      0.05
01:03:48 PM      0.00      0.00      0.00      0.06
01:03:53 PM      0.00      0.00      0.00      0.06
01:03:58 PM      0.00      0.00      0.00      0.04
01:04:03 PM      0.00      0.00      0.00      0.06
01:04:08 PM      0.00      0.00      0.00      0.05
01:04:13 PM      0.00      0.00      0.00      0.04
01:04:18 PM      0.00      0.00      0.00      0.07
01:04:23 PM      0.00      0.00      0.00      0.05
01:04:28 PM      0.00      0.00      0.00      0.05
01:04:33 PM      0.00      0.00      0.00      0.07
01:04:38 PM      0.00      0.00      0.00      0.09
01:04:43 PM      0.00      0.00      0.00      0.05
01:04:48 PM      0.00      0.00      0.00      0.05
01:04:53 PM      0.00      0.00      0.00      0.05
01:04:58 PM      0.00      0.00      0.00      0.07
01:05:03 PM      0.00      0.00      0.00      0.05
01:05:08 PM      0.00      0.00      0.00      0.06
01:05:13 PM      0.00      0.00      0.00      0.05
01:05:18 PM      0.00      0.00      0.00      0.07
01:05:23 PM      0.00      0.00      0.00      0.05
01:05:28 PM      0.00      0.00      0.00      0.07
01:05:33 PM      0.00      0.00      0.00      0.05
01:05:38 PM      0.00      0.00      0.00      0.05
01:05:43 PM      0.00      0.00      0.00      0.05
01:05:48 PM      0.00      0.00      0.00      0.07
01:05:53 PM      0.00      0.00      0.00      0.05
01:05:58 PM      0.00      0.00      0.00      0.05
01:06:03 PM      0.00      0.00      0.00      0.05
01:06:08 PM      0.00      0.00      0.00      0.08
01:06:13 PM      0.00      0.00      0.00      0.05
01:06:18 PM      0.00      0.00      0.00      0.07
01:06:23 PM      0.00      0.00      0.00      0.04
01:06:28 PM      0.00      0.00      0.00      0.07
01:06:33 PM      0.00      0.00      0.00      0.04
01:06:38 PM      0.00      0.00      0.00      0.06
01:06:43 PM      0.00      0.00      0.00      0.05
01:06:48 PM      0.00      0.00      0.00      0.07
01:06:53 PM      0.00      0.00      0.00      0.06
01:06:58 PM      0.00      0.00      0.00      0.05
01:07:03 PM      0.00      0.00      0.00      0.04
01:07:08 PM      0.00      0.00      0.00      0.07
01:07:13 PM      0.00      0.00      0.00      0.05
01:07:18 PM      0.00      0.00      0.00      0.05
01:07:23 PM      0.00      0.00      0.00      0.05
01:07:28 PM      0.00      0.00      0.00      0.07
01:07:33 PM      0.00      0.00      0.00      0.07
01:07:38 PM      0.00      0.00      0.00      0.07
01:07:43 PM      0.00      0.00      0.00      0.05
01:07:48 PM      0.00      0.00      0.00      0.06
01:07:53 PM      0.00      0.00      0.00      0.05
01:07:58 PM      0.00      0.00      0.00      0.08
01:08:03 PM      0.00      0.00      0.00      0.04
01:08:08 PM      0.00      0.00      0.00      0.05
01:08:13 PM      0.00      0.00      0.00      0.07
01:08:18 PM      0.00      0.00      0.00      0.05
01:08:23 PM      0.00      0.00      0.00      0.05
01:08:28 PM      0.00      0.00      0.00      0.05
01:08:33 PM      0.00      0.00      0.00      0.05
01:08:38 PM      0.00      0.00      0.00      0.07
01:08:43 PM      0.00      0.00      0.00      0.05
01:08:48 PM      0.00      0.00      0.00      0.07
01:08:53 PM      0.00      0.00      0.00      0.05
01:08:58 PM      0.00      0.00      0.00      0.07
01:09:03 PM      0.00      0.00      0.00      0.05
01:09:08 PM      0.00      0.00      0.00      0.07
01:09:13 PM      0.00      0.00      0.00      0.04
01:09:18 PM      0.00      0.00      0.00      0.07
01:09:23 PM      0.00      0.00      0.00      0.06
01:09:28 PM      0.00      0.00      0.00      0.06
01:09:33 PM      0.00      0.00      0.00      0.05
01:09:38 PM      0.00      0.00      0.00      0.07
01:09:43 PM      0.00      0.00      0.00      0.05
01:09:48 PM      0.00      0.00      0.00      0.07
01:09:53 PM      0.00      0.00      0.00      0.04
01:09:58 PM      0.00      0.00      0.00      0.07
01:10:03 PM      0.00      0.00      0.00      0.05
01:10:08 PM      0.00      0.00      0.00      0.05
01:10:13 PM      0.00      0.00      0.00      0.05
01:10:18 PM      0.00      0.00      0.00      0.07
01:10:23 PM      0.00      0.00      0.00      0.05
01:10:28 PM      0.00      0.00      0.00      0.06
01:10:33 PM      0.00      0.00      0.00      0.05
01:10:38 PM      0.00      0.00      0.00      0.08
01:10:43 PM      0.00      0.00      0.00      0.05
01:10:48 PM      0.00      0.00      0.00      0.06
01:10:53 PM      0.00      0.00      0.00      0.04
01:10:58 PM      0.00      0.00      0.00      0.08
01:11:03 PM      0.00      0.00      0.00      0.05
01:11:08 PM      0.00      0.00      0.00      0.06
01:11:13 PM      0.00      0.00      0.00      0.07
01:11:18 PM      0.00      0.00      0.00      0.05
01:11:23 PM      0.00      0.00      0.00      0.05
01:11:28 PM      0.00      0.00      0.00      0.07
01:11:33 PM      0.00      0.00      0.00      0.05
01:11:38 PM      0.00      0.00      0.00      0.08
01:11:43 PM      0.00      0.00      0.00      0.05
01:11:48 PM      0.00      0.00      0.00      0.06
01:11:53 PM      0.00      0.00      0.00      0.05
01:11:58 PM      0.00      0.00      0.00      0.08
01:12:03 PM      0.00      0.00      0.00      0.05
01:12:08 PM      0.00      0.00      0.00      0.06
01:12:13 PM      0.00      0.00      0.00      0.05
01:12:18 PM      0.00      0.00      0.00      0.08
01:12:23 PM      0.00      0.00      0.00      0.04
01:12:28 PM      0.00      0.00      0.00      0.08
01:12:33 PM      0.00      0.00      0.00      0.03
01:12:38 PM      0.00      0.00      0.00      0.06
01:12:43 PM      0.00      0.00      0.00      0.05
01:12:48 PM      0.00      0.00      0.00      0.05
01:12:53 PM      0.00      0.00      0.00      0.07
01:12:58 PM      0.00      0.00      0.00      0.11
01:13:03 PM      0.00      0.00      0.00      0.07
01:13:08 PM      0.00      0.00      0.00      0.06
01:13:13 PM      0.00      0.00      0.00      0.07
01:13:18 PM      0.00      0.00      0.00      0.05
01:13:23 PM      0.00      0.00      0.00      0.05
01:13:28 PM      0.00      0.00      0.00      0.08
01:13:33 PM      0.00      0.00      0.00      0.05
01:13:38 PM      0.00      0.00      0.00      0.06
01:13:43 PM      0.00      0.00      0.00      0.07
01:13:48 PM      0.00      0.00      0.00      0.08
01:13:53 PM      0.00      0.00      0.00      0.04
01:13:58 PM      0.00      0.00      0.00      0.20
01:14:03 PM      0.00      0.00      0.00      0.05
01:14:08 PM      0.00      0.00      0.00      0.08
01:14:13 PM      0.00      0.00      0.00      0.05
01:14:18 PM      0.00      0.00      0.00      0.05
01:14:23 PM      0.00      0.00      0.00      0.05
01:14:28 PM      0.00      0.00      0.00      0.19
01:14:33 PM      0.00      0.00      0.00      0.05
01:14:38 PM      0.00      0.00      0.00      0.06
01:14:43 PM      0.00      0.00      0.00      0.07
01:14:48 PM      0.00      0.00      0.00      0.07
01:14:53 PM      0.00      0.00      0.00      0.07
01:14:58 PM      0.00      0.00      0.00      0.11
01:15:03 PM      0.00      0.00      0.00      0.05
01:15:08 PM      0.00      0.00      0.00      0.08
01:15:13 PM      0.00      0.00      0.00      0.05
01:15:18 PM      0.00      0.00      0.00      0.06
01:15:23 PM      0.00      0.00      0.00      0.05
01:15:28 PM      0.00      0.00      0.00      0.14
01:15:33 PM      0.00      0.00      0.00      0.07
01:15:38 PM      0.00      0.00      0.00      0.07
01:15:43 PM      0.00      0.00      0.00      0.05
01:15:48 PM      0.00      0.00      0.00      0.05
01:15:53 PM      0.00      0.00      0.00      0.05
01:15:58 PM      0.00      0.00      0.00      0.14
01:16:03 PM      0.00      0.00      0.00      0.07
01:16:08 PM      0.00      0.00      0.00      0.06
01:16:13 PM      0.00      0.00      0.00      0.05
01:16:18 PM      0.00      0.00      0.00      0.08
01:16:23 PM      0.00      0.00      0.00      0.05
01:16:28 PM      0.00      0.00      0.00      0.15
01:16:33 PM      0.00      0.00      0.00      0.05
01:16:38 PM      0.00      0.00      0.00      0.08
01:16:43 PM      0.00      0.00      0.00      0.05
01:16:48 PM      0.00      0.00      0.00      0.06
01:16:53 PM      0.00      0.00      0.00      0.03
01:16:58 PM      0.00      0.00      0.00      0.15
01:17:03 PM      0.00      0.00      0.00      0.05
01:17:08 PM      0.00      0.00      0.00      0.05
01:17:13 PM      0.00      0.00      0.00      0.07
01:17:18 PM      0.00      0.00      0.00      0.06
01:17:23 PM      0.00      0.00      0.00      0.05
01:17:28 PM      0.00      0.00      0.00      0.10
01:17:33 PM      0.00      0.00      0.00      0.05
01:17:38 PM      0.00      0.00      0.00      0.05
01:17:43 PM      0.00      0.00      0.00      0.07
01:17:48 PM      0.00      0.00      0.00      0.06
01:17:53 PM      0.00      0.00      0.00      0.05
01:17:58 PM      0.00      0.00      0.00      0.17
01:18:03 PM      0.00      0.00      0.00      0.05
01:18:08 PM      0.00      0.00      0.00      0.06
01:18:13 PM      0.00      0.00      0.00      0.05
01:18:18 PM      0.00      0.00      0.00      0.08
01:18:23 PM      0.00      0.00      0.00      0.05
01:18:28 PM      0.00      0.00      0.00      0.12
01:18:33 PM      0.00      0.00      0.00      0.05
01:18:38 PM      0.00      0.00      0.00      0.08
01:18:43 PM      0.00      0.00      0.00      0.05
01:18:48 PM      0.00      0.00      0.00      0.06
01:18:53 PM      0.00      0.00      0.00      0.05
01:18:58 PM      0.00      0.00      0.00      0.14
01:19:03 PM      0.00      0.00      0.00      0.05
01:19:08 PM      0.00      0.00      0.00      0.07
01:19:13 PM      0.00      0.00      0.00      0.05
01:19:18 PM      0.00      0.00      0.00      0.08
01:19:23 PM      0.00      0.00      0.00      0.04
01:19:28 PM      0.00      0.00      0.00      0.09
01:19:33 PM      0.00      0.00      0.00      0.05
01:19:38 PM      0.00      0.00      0.00      0.06
01:19:43 PM      0.00      0.00      0.00      0.05
01:19:48 PM      0.00      0.00      0.00      0.06
01:19:53 PM      0.00      0.00      0.00      0.07
01:19:58 PM      0.00      0.00      0.00      0.17
01:20:03 PM      0.00      0.00      0.00      0.03
01:20:08 PM      0.00      0.00      0.00      0.06
01:20:13 PM      0.00      0.00      0.00      0.07
01:20:18 PM      0.00      0.00      0.00      0.06
01:20:23 PM      0.00      0.00      0.00      0.05
01:20:28 PM      0.00      0.00      0.00      0.11
01:20:33 PM      0.00      0.00      0.00      0.05
01:20:38 PM      0.00      0.00      0.00      0.07
01:20:43 PM      0.00      0.00      0.00      0.05
01:20:48 PM      0.00      0.00      0.00      0.06
01:20:53 PM      0.00      0.00      0.00      0.07
01:20:58 PM      0.00      0.00      0.00      0.18
01:21:03 PM      0.00      0.00      0.00      0.03
01:21:08 PM      0.00      0.00      0.00      0.06
01:21:13 PM      0.00      0.00      0.00      0.05
01:21:18 PM      0.00      0.00      0.00      0.06
01:21:23 PM      0.00      0.00      0.00      0.05
01:21:28 PM      0.00      0.00      0.00      0.12
01:21:33 PM      0.00      0.00      0.00      0.04
01:21:38 PM      0.00      0.00      0.00      0.07
01:21:43 PM      0.00      0.00      0.00      0.06
01:21:48 PM      0.00      0.00      0.00      0.06
01:21:53 PM      0.00      0.00      0.00      0.07
01:21:58 PM      0.00      0.00      0.00      0.10
01:22:03 PM      0.00      0.00      0.00      0.05
01:22:08 PM      0.00      0.00      0.00      0.06
01:22:13 PM      0.00      0.00      0.00      0.07
01:22:18 PM      0.00      0.00      0.00      0.06
01:22:23 PM      0.00      0.00      0.00      0.05
01:22:28 PM      0.00      0.00      0.00      0.21
01:22:33 PM      0.00      0.00      0.00      0.05
01:22:38 PM      0.00      0.00      0.00      0.06
01:22:43 PM      0.00      0.00      0.00      0.05
01:22:48 PM      0.00      0.00      0.00      0.06
01:22:53 PM      0.00      0.00      0.00      0.07
01:22:58 PM      0.00      0.00      0.00      0.13
01:23:03 PM      0.00      0.00      0.00      0.09
01:23:08 PM      0.00      0.00      0.00      0.06
01:23:13 PM      0.00      0.00      0.00      0.05
01:23:18 PM      0.00      0.00      0.00      0.08
01:23:23 PM      0.00      0.00      0.00      0.05
01:23:28 PM      0.00      0.00      0.00      0.09
01:23:33 PM      0.00      0.00      0.00      0.07
01:23:38 PM      0.00      0.00      0.00      0.06
01:23:43 PM      0.00      0.00      0.00      0.05
01:23:48 PM      0.00      0.00      0.00      0.06
01:23:53 PM      0.00      0.00      0.00      0.07
01:23:58 PM      0.00      0.00      0.00      0.06
01:24:03 PM      0.00      0.00      0.00      0.07
01:24:08 PM      0.00      0.00      0.00      0.04
01:24:13 PM      0.00      0.00      0.00      0.07
01:24:18 PM      0.00      0.00      0.00      0.05
01:24:23 PM      0.00      0.00      0.00      0.05
01:24:28 PM      0.00      0.00      0.00      0.13
01:24:33 PM      0.00      0.00      0.00      0.07
01:24:38 PM      0.00      0.00      0.00      0.06
01:24:43 PM      0.00      0.00      0.00      0.07
01:24:48 PM      0.00      0.00      0.00      0.05
01:24:53 PM      0.00      0.00      0.00      0.07
01:24:58 PM      0.00      0.00      0.00      0.19
01:25:03 PM      0.00      0.00      0.00      0.05
01:25:08 PM      0.00      0.00      0.00      0.06
01:25:13 PM      0.00      0.00      0.00      0.05
01:25:18 PM      0.00      0.00      0.00      0.08
01:25:23 PM      0.00      0.00      0.00      0.05
01:25:28 PM      0.00      0.00      0.00      0.15
01:25:33 PM      0.00      0.00      0.00      0.05
01:25:38 PM      0.00      0.00      0.00      0.06
01:25:43 PM      0.00      0.00      0.00      0.05
01:25:48 PM      0.00      0.00      0.00      0.05
01:25:53 PM      0.00      0.00      0.00      0.07
