Linux 7.0.9-arch2-1 (archlinux) 	05/25/2026 	_x86_64_	(4 CPU)

08:19:15 AM  %scpu-10  %scpu-60 %scpu-300     %scpu
08:32:45 AM      0.00      0.00      0.00      0.16
08:32:50 AM      0.00      0.00      0.00      0.19
08:32:55 AM      0.00      0.00      0.00      0.18
08:33:00 AM      0.00      0.00      0.00      0.16
08:33:05 AM      0.00      0.00      0.00      0.20
08:33:10 AM      0.00      0.00      0.00      0.18
08:33:15 AM      0.00      0.00      0.00      0.21
08:33:20 AM      0.00      0.00      0.00      0.17
08:33:25 AM      0.00      0.00      0.00      0.21
08:33:30 AM      0.00      0.00      0.00      0.19
08:33:35 AM      0.00      0.00      0.00      0.19
08:33:40 AM      0.00      0.00      0.00      0.24
08:33:45 AM      0.00      0.00      0.00      0.22
08:33:50 AM      0.00      0.00      0.00      0.13
08:33:55 AM      0.00      0.00      0.00      0.14
08:34:00 AM      0.00      0.00      0.00      0.27
08:34:05 AM      0.00      0.00      0.00      0.17
08:34:10 AM      0.00      0.00      0.00      0.18
08:34:15 AM      0.00      0.00      0.00      0.19
08:34:20 AM      0.00      0.00      0.00      0.19
08:34:25 AM      0.00      0.00      0.00      0.04
08:34:30 AM      0.00      0.00      0.00      0.13
08:34:35 AM      0.00      0.00      0.00      0.22
08:34:40 AM      0.00      0.00      0.00      0.16
08:34:45 AM      0.00      0.00      0.00      0.17
08:34:50 AM      0.00      0.00      0.00      0.18
08:34:55 AM      0.00      0.00      0.00      0.22
08:35:00 AM      0.00      0.00      0.00      0.19
08:35:05 AM      0.00      0.00      0.00      0.24
08:35:10 AM      0.00      0.00      0.00      0.19
08:35:15 AM      0.00      0.00      0.00      0.19
08:35:20 AM      0.00      0.00      0.00      0.17
08:35:25 AM      0.00      0.00      0.00      0.18
08:35:30 AM      0.00      0.00      0.00      0.16
08:35:35 AM      0.00      0.00      0.00      0.20
08:35:40 AM      0.00      0.00      0.00      0.20
08:35:45 AM      0.00      0.00      0.00      0.18
08:35:50 AM      0.00      0.00      0.00      0.13
08:35:55 AM      0.00      0.00      0.00      0.14
08:36:00 AM      0.00      0.00      0.00      0.18
08:36:05 AM      0.00      0.00      0.00      0.19
08:36:10 AM      0.00      0.00      0.00      0.15
08:36:15 AM      0.00      0.00      0.00      0.15
08:36:20 AM      0.00      0.00      0.00      0.18
08:36:25 AM      0.00      0.00      0.00      0.17
08:36:30 AM      0.00      0.00      0.00      0.16
08:36:35 AM      0.00      0.00      0.00      0.15
